S.No,TestName,Component,Priority,Team,User,OldTag,NewTag,FilePath
45,test_TR5581565_AddARowInProjectViewTimecard,TK_Regression_ProjectTimecard_Selenium_Part2,P1,Patriots,Ayushi,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\projecttimecard\TK_Regression_ProjectTimecard_Selenium_Part2\test_TR5581565_AddARowInProjectViewTimecard.spec.ts
46,test_ALM148341_AddARowInHourlyTimecardOnAHolidayWithoutSchedule,TK_Regression_ProjectTimecard_Selenium_Part2,P1,Patriots,Ayushi,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\projecttimecard\TK_Regression_ProjectTimecard_Selenium_Part2\test_ALM148341_AddARowInHourlyTimecardOnAHolidayWithoutSchedule.spec.ts
47,test_ALM62840_ManagerTCDisplayTimeVerifyTimecardLoadedTimeProjectView,TK_Regression_ProjectTimecard_Selenium_Part2,P1,Patriots,Naman,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\projecttimecard\TK_Regression_ProjectTimecard_Selenium_Part2\test_ALM62840_ManagerTCDisplayTimeVerifyTimecardLoadedTimeProjectView.spec.ts
48,test_ALM62839_ManagerTCDisplayTimeVerifyTimecardLoadedTimeOnSave,TK_Regression_ProjectTimecard_Selenium_Part2,P1,Patriots,Rohit,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\projecttimecard\TK_Regression_ProjectTimecard_Selenium_Part2\test_ALM62839_ManagerTCDisplayTimeVerifyTimecardLoadedTimeOnSave.spec.ts
49,test_ALM62833_DisplayTimeVerifyTimecardLoadedTimeOnRefresh,TK_Regression_ProjectTimecard_Selenium_Part2,P1,Patriots,Rohit,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\projecttimecard\TK_Regression_ProjectTimecard_Selenium_Part2\test_ALM62833_DisplayTimeVerifyTimecardLoadedTimeOnRefresh.spec.ts
50,test_ALM56337_ManagerTCDisplayTimeVerifyTimecardLoadedTimeOnRefresh,TK_Regression_ProjectTimecard_Selenium_Part2,P1,Patriots,Rohit,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\projecttimecard\TK_Regression_ProjectTimecard_Selenium_Part2\test_ALM56337_ManagerTCDisplayTimeVerifyTimecardLoadedTimeOnRefresh.spec.ts
51,test_ALM56326_UCVerifyManagerSelectAnEmployeeAndDeleteARowInHourlyTimecard,TK_Regression_ProjectTimecard_Selenium_Part2,P1,Patriots,test1,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\projecttimecard\TK_Regression_ProjectTimecard_Selenium_Part2\test_ALM56326_UCVerifyManagerSelectAnEmployeeAndDeleteARowInHourlyTimecard.spec.ts
52,test_ALM56323_UCVerifyManagerSelectAnEmployeeAndAddARowInHourlyTimecard,TK_Regression_ProjectTimecard_Selenium_Part2,P1,Patriots,test1,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\projecttimecard\TK_Regression_ProjectTimecard_Selenium_Part2\test_ALM56323_UCVerifyManagerSelectAnEmployeeAndAddARowInHourlyTimecard.spec.ts
53,test_ALM55883_DeleteARowInHourlyTimecard,TK_Regression_ProjectTimecard_Selenium_Part2,P1,Patriots,test1,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\projecttimecard\TK_Regression_ProjectTimecard_Selenium_Part2\test_ALM55883_DeleteARowInHourlyTimecard.spec.ts
54,test_ALM167975_HourlyOrProjectViewTimeCardShouldRestrictPunchTile,TK_Regression_Punch_Selenium_Part2,P1,Patriots,Vikash,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\punchRow\TK_Regression_Punch_Selenium_Part2\test_ALM167975_HourlyOrProjectViewTimeCardShouldRestrictPunchTile.spec.ts
55,test_ALM86932_Adding_Punches_When_Calculate_Totals_In_My_Timecard_FAP_Is_Disabled,TK_Regression_Punch_Selenium_Part2,P1,Patriots,Vikash,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\punchRow\TK_Regression_Punch_Selenium_Part2\test_ALM86932_Adding_Punches_When_Calculate_Totals_In_My_Timecard_FAP_Is_Disabled.spec.ts
56,test_ALM125204_VerifyEditFutureHourlytimecardMaximumDays,TK_Regression_TimecardConfiguration_Integration_Selenium,P1,Innovance,test1,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\configuration\TK_Regression_TimecardConfiguration_Integration_Selenium\test_ALM125204_VerifyEditFutureHourlytimecardMaximumDays.spec.ts
